q,q_uncertainty,name,lat_NS,long_EW,elevation,environment,p_comment,corr_HP_flag,total_depth_MD,total_depth_TVD,explo_method,explo_purpose,qc,qc_uncertainty,q_method,q_top,q_bottom,probe_penetration,publication_reference,data_reference,relevant_child,c_comment,corr_IS_flag,corr_T_flag,corr_S_flag,corr_E_flag,corr_TOPO_flag,corr_PAL_flag,corr_SUR_flag,corr_CONV_flag,corr_HR_flag,expedition,probe_type,probe_length,probe_tilt,water_temperature,geo_lithology,geo_stratigraphy,T_grad_mean,T_grad_uncertainty,T_grad_mean_cor,T_grad_uncertainty_cor,T_method_top,T_method_bottom,T_shutin_top,T_shutin_bottom,T_corr_top,T_corr_bottom,T_number,q_date,tc_mean,tc_uncertainty,tc_source,tc_location,tc_method,tc_saturation,tc_pT_conditions,tc_pT_fuction,tc_number,tc_strategy,Ref_ISGN,Reviewer_name,Reviewer_comment,Review_date,Review_status,Country,Region,Continent,Domain,Year,Quality_Code,ID_parent,ID
1360.0,,Ijen-1,-8.06050,114.24438,,onshore (continental),Active volcanic area,No,1.00,,Drilling,Geothermal,1360.0,,Interval method,0.00,1.00,,Afandi_etal._2021,,Yes,,,,,,,,,,,,,,,,tuff;sand;volcanic breccia;sulfur,Holocene,800.00,,,,RTDpert,RTDpert,0.0,0.0,not corrected,not corrected,3,,1.70,,Assumed from literature,Literature/unspecified,Estimation - from lithology and literature,,Unrecorded ambient pT conditions,,,Characterize formation conductivities,,"Marvin Schulz, Florian Neumann",coordinates obtained by georeferencing figure 7 (MS),23/10/2023,completed,Indonesia,,Asia,continental,2021,Ux.M4.-------,R24-P002203,R24-002203
4760.0,,Ijen-10,-8.06034,114.24416,,onshore (continental),Active volcanic area,No,1.00,,Drilling,Geothermal,4760.0,,Interval method,0.00,1.00,,Afandi_etal._2021,,Yes,,,,,,,,,,,,,,,,tuff;sand;volcanic breccia;sulfur,Holocene,2800.00,,,,RTDpert,RTDpert,0.0,0.0,not corrected,not corrected,3,,1.70,,Assumed from literature,Literature/unspecified,Estimation - from lithology and literature,,Unrecorded ambient pT conditions,,,Characterize formation conductivities,,"Marvin Schulz, Florian Neumann",coordinates obtained by georeferencing figure 7 (MS),23/10/2023,completed,Indonesia,,Asia,continental,2021,Ux.M4.-------,R24-P002204,R24-002204
21080.0,,Ijen-11,-8.06048,114.24409,,onshore (continental),Active volcanic area,No,1.00,,Drilling,Geothermal,21080.0,,Interval method,0.00,1.00,,Afandi_etal._2021,,Yes,,,,,,,,,,,,,,,,tuff;sand;volcanic breccia;sulfur,Holocene,12400.00,,,,RTDpert,RTDpert,0.0,0.0,not corrected,not corrected,3,,1.70,,Assumed from literature,Literature/unspecified,Estimation - from lithology and literature,,Unrecorded ambient pT conditions,,,Characterize formation conductivities,,"Marvin Schulz, Florian Neumann",coordinates obtained by georeferencing figure 7 (MS),23/10/2023,completed,Indonesia,,Asia,continental,2021,Ux.M4.-------,R24-P002205,R24-002205
109480.0,,Ijen-12,-8.06050,114.24403,,onshore (continental),Active volcanic area,No,1.00,,Drilling,Geothermal,109480.0,,Interval method,0.00,1.00,,Afandi_etal._2021,,Yes,,,,,,,,,,,,,,,,tuff;sand;volcanic breccia;sulfur,Holocene,64400.00,,,,RTDpert,RTDpert,0.0,0.0,not corrected,not corrected,3,,1.70,,Assumed from literature,Literature/unspecified,Estimation - from lithology and literature,,Unrecorded ambient pT conditions,,,Characterize formation conductivities,,"Marvin Schulz, Florian Neumann",coordinates obtained by georeferencing figure 7 (MS),23/10/2023,completed,Indonesia,,Asia,continental,2021,Ux.M4.-------,R24-P002206,R24-002206
59500.0,,Ijen-13,-8.06034,114.24488,,onshore (continental),Active volcanic area,No,1.00,,Drilling,Geothermal,59500.0,,Interval method,0.00,1.00,,Afandi_etal._2021,,Yes,,,,,,,,,,,,,,,,tuff;sand;volcanic breccia;sulfur,Holocene,35000.00,,,,RTDpert,RTDpert,0.0,0.0,not corrected,not corrected,3,,1.70,,Assumed from literature,Literature/unspecified,Estimation - from lithology and literature,,Unrecorded ambient pT conditions,,,Characterize formation conductivities,,"Marvin Schulz, Florian Neumann",coordinates obtained by georeferencing figure 7 (MS),23/10/2023,completed,Indonesia,,Asia,continental,2021,Ux.M4.-------,R24-P002207,R24-002207
15980.0,,Ijen-2,-8.06074,114.24468,,onshore (continental),Active volcanic area,No,1.00,,Drilling,Geothermal,15980.0,,Interval method,0.00,1.00,,Afandi_etal._2021,,Yes,,,,,,,,,,,,,,,,tuff;sand;volcanic breccia;sulfur,Holocene,9400.00,,,,RTDpert,RTDpert,0.0,0.0,not corrected,not corrected,3,,1.70,,Assumed from literature,Literature/unspecified,Estimation - from lithology and literature,,Unrecorded ambient pT conditions,,,Characterize formation conductivities,,"Marvin Schulz, Florian Neumann",coordinates obtained by georeferencing figure 7 (MS),23/10/2023,completed,Indonesia,,Asia,continental,2021,Ux.M4.-------,R24-P002208,R24-002208
10880.0,,Ijen-3,-8.06070,114.24466,,onshore (continental),Active volcanic area,No,1.00,,Drilling,Geothermal,10880.0,,Interval method,0.00,1.00,,Afandi_etal._2021,,Yes,,,,,,,,,,,,,,,,tuff;sand;volcanic breccia;sulfur,Holocene,6400.00,,,,RTDpert,RTDpert,0.0,0.0,not corrected,not corrected,3,,1.70,,Assumed from literature,Literature/unspecified,Estimation - from lithology and literature,,Unrecorded ambient pT conditions,,,Characterize formation conductivities,,"Marvin Schulz, Florian Neumann",coordinates obtained by georeferencing figure 7 (MS),23/10/2023,completed,Indonesia,,Asia,continental,2021,Ux.M4.-------,R24-P002209,R24-002209
35360.0,,Ijen-4,-8.06058,114.24450,,onshore (continental),Active volcanic area,No,1.00,,Drilling,Geothermal,35360.0,,Interval method,0.00,1.00,,Afandi_etal._2021,,Yes,,,,,,,,,,,,,,,,tuff;sand;volcanic breccia;sulfur,Holocene,20800.00,,,,RTDpert,RTDpert,0.0,0.0,not corrected,not corrected,3,,1.70,,Assumed from literature,Literature/unspecified,Estimation - from lithology and literature,,Unrecorded ambient pT conditions,,,Characterize formation conductivities,,"Marvin Schulz, Florian Neumann",coordinates obtained by georeferencing figure 7 (MS),23/10/2023,completed,Indonesia,,Asia,continental,2021,Ux.M4.-------,R24-P002210,R24-002210
7820.0,,Ijen-5,-8.06033,114.24423,,onshore (continental),Active volcanic area,No,1.00,,Drilling,Geothermal,7820.0,,Interval method,0.00,1.00,,Afandi_etal._2021,,Yes,,,,,,,,,,,,,,,,tuff;sand;volcanic breccia;sulfur,Holocene,4600.00,,,,RTDpert,RTDpert,0.0,0.0,not corrected,not corrected,3,,1.70,,Assumed from literature,Literature/unspecified,Estimation - from lithology and literature,,Unrecorded ambient pT conditions,,,Characterize formation conductivities,,"Marvin Schulz, Florian Neumann",coordinates obtained by georeferencing figure 7 (MS),23/10/2023,completed,Indonesia,,Asia,continental,2021,Ux.M4.-------,R24-P002211,R24-002211
5440.0,,Ijen-6,-8.06025,114.24429,,onshore (continental),Active volcanic area,No,1.00,,Drilling,Geothermal,5440.0,,Interval method,0.00,1.00,,Afandi_etal._2021,,Yes,,,,,,,,,,,,,,,,tuff;sand;volcanic breccia;sulfur,Holocene,3200.00,,,,RTDpert,RTDpert,0.0,0.0,not corrected,not corrected,3,,1.70,,Assumed from literature,Literature/unspecified,Estimation - from lithology and literature,,Unrecorded ambient pT conditions,,,Characterize formation conductivities,,"Marvin Schulz, Florian Neumann",coordinates obtained by georeferencing figure 7 (MS),23/10/2023,completed,Indonesia,,Asia,continental,2021,Ux.M4.-------,R24-P002212,R24-002212
